type_annonce,nombre_pieces,prix (F CFA),Adresse,Image Link
Location,7,3.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5190422_uploaded_image1_1739828357.jpg
Location,9,1.200.000,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196970_uploaded_image1_1740158490.jpg
Vente,Non spécifié,35.000.000,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5191727_uploaded_image1_1739895844.76.jpeg
Vente,1800 m2,Prix.sur.demande,"Almadies, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5191722_uploaded_image1_1739895715.31.jpeg
Location,5,4.000.000,"Point E, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196842_uploaded_image1_1740153595.jpg
Vente,Non spécifié,80.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196827_uploaded_image1_1740153131.jpg
Location,7,2.000.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5167293_uploaded_image1_1738595898.jpg
Location,4,350.000,"Guediawaye, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5176690_uploaded_image1_1739036735.jpg
Location,7,1.200.000,"Sacré-Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5169047_uploaded_image2_1738665641.jpeg
Location,11,2.000.000,"Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5191368_uploaded_image1_1739884616.jpg
Location,6,990.000,"Ngor, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5166922_uploaded_image1_1738585083.jpg
Vente,1,300.000.000,"Point E, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5196556_uploaded_image1_1740141692.jpg
Location,5,1.000.000,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5162330_uploaded_image1_1738323892.jpg
Vente,6,165.000.000,"Sicap Liberté, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5166835_uploaded_image1_1738581846.jpg
Location,5,1.000.000,"Mamelles, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5156819_uploaded_image1_1738059178.jpg
Vente,6,250.000.000,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5152068_uploaded_image1_1737767573.jpg
Location,6,1.800.000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://sn.coinafrique.com/https://images.coinafrique.com/thumb_5181606_uploaded_image1_1739314084.jpg
